Week,Model,Features,Fold,N_train,N_test,N_features,AUROC,AUPRC,F1,Precision,Recall,Balanced_Acc
4,RandomForest,VLE+Assessment,2,26072,6521,6,0.7553928770120036,0.7875772906259962,0.7004773269689738,0.7151995126408772,0.6863490207541655,0.6923680587641795
4,RandomForest,VLE+Assessment,3,26099,6494,6,0.7529751303590687,0.7877284211888638,0.6871980676328503,0.7116948092557849,0.6643315820198482,0.6819050348169645
4,RandomForest,VLE+Assessment,4,26111,6482,6,0.7507857416414977,0.7851503811748841,0.687537627934979,0.7124142233312539,0.6643397324025596,0.6807243997098211
4,RandomForest,All_features,0,26026,6567,44,0.8098655869178838,0.8468779223946936,0.7375415282392026,0.7784507491233663,0.7007173601147776,0.7376072199665387
4,RandomForest,All_features,1,26064,6529,44,0.8020604961504143,0.8388622978159332,0.718266253869969,0.7677035076108537,0.6748109365910413,0.7238499846332754
4,RandomForest,All_features,2,26072,6521,44,0.8107752402146138,0.8491512666707963,0.7365352155899954,0.7751937984496124,0.701549254603917,0.7385165627858294
4,RandomForest,All_features,3,26099,6494,44,0.8092238507433378,0.8465269602345973,0.7299984702462904,0.7669559627129541,0.6964389959136019,0.7300643480219899
4,RandomForest,All_features,4,26111,6482,44,0.8093515868483877,0.8486693456646756,0.7349267540478026,0.7820807351493272,0.6931355439208843,0.7375007548776563
4,XGBoost,VLE_only,0,26026,6567,3,0.7208786707098279,0.7675660899554495,0.6635000742170105,0.6872693726937269,0.6413199426111909,0.6556697052445961
4,XGBoost,VLE_only,1,26064,6529,3,0.7180400829671384,0.764004570617068,0.6595905989385898,0.6889452011403231,0.6326352530541012,0.6574693573584967
4,XGBoost,VLE_only,2,26072,6521,3,0.7191777069523154,0.7668681126341906,0.6636677162992952,0.6813423645320197,0.6468868751826952,0.6565079537203798
4,XGBoost,VLE_only,3,26099,6494,3,0.7139395724542211,0.7571746987183438,0.6526283896379337,0.6784251968503937,0.6287215411558669,0.6479657249455997
4,XGBoost,VLE_only,4,26111,6482,3,0.7174244491686409,0.7623851039093597,0.6597441685477803,0.6835048331774244,0.6375799883653287,0.6520685749973818
4,XGBoost,Assessment_only,0,26026,6567,3,0.7169953364609799,0.7066913140092703,0.6984311446833237,0.7072668431891733,0.6898134863701578,0.6834855880909841
4,XGBoost,Assessment_only,1,26064,6529,3,0.7090739332359576,0.6965942989167861,0.6846176733115145,0.7006699147381242,0.6692844677137871,0.6756322047401029
4,XGBoost,Assessment_only,2,26072,6521,3,0.7217821142657779,0.7085147923291276,0.7001317137421338,0.7010550996483002,0.6992107570885706,0.6850892495120273
4,XGBoost,Assessment_only,3,26099,6494,3,0.7168628522130407,0.702111148071849,0.7010517216539404,0.692176386913229,0.7101576182136602,0.6787424336179122
4,XGBoost,Assessment_only,4,26111,6482,3,0.7127017338870887,0.7017248367932779,0.6995932597327136,0.6987811955890888,0.7004072134962187,0.6797042637783328
4,XGBoost,VLE+Assessment,0,26026,6567,6,0.776330886891722,0.8103846081986056,0.7142220240748997,0.7407521578298397,0.6895265423242468,0.7083258928363609
4,XGBoost,VLE+Assessment,1,26064,6529,6,0.7641068037231701,0.8014387468635091,0.6980786825251601,0.7336538461538461,0.6657940663176265,0.6984745161740187
4,XGBoost,VLE+Assessment,2,26072,6521,6,0.7707916002677957,0.8090385543042367,0.7091180866965621,0.7256041602936678,0.6933645133002047,0.7020048372952636
4,XGBoost,VLE+Assessment,3,26099,6494,6,0.7697174037633832,0.8039396921734344,0.7104397247980856,0.7285276073619632,0.6932282545242265,0.7023833580313441
4,XGBoost,VLE+Assessment,4,26111,6482,6,0.771674448595316,0.8063911894538367,0.7107733571747876,0.7286892758936755,0.693717277486911,0.7009979291508143
4,XGBoost,All_features,0,26026,6567,44,0.810915511643951,0.8504188353970836,0.7318840579710145,0.7722204523733673,0.6955523672883788,0.7317800772197897
4,XGBoost,All_features,1,26064,6529,44,0.8065564158286486,0.8451878592230662,0.7243293246993524,0.7706692913385826,0.6832460732984293,0.7285528328316799
4,XGBoost,All_features,2,26072,6521,44,0.8138469698541269,0.8541878654765177,0.7390639339247477,0.7751042669233237,0.7062262496346098,0.7400486086882727
4,XGBoost,All_features,3,26099,6494,44,0.8110133624229472,0.8492550345231366,0.733908829320006,0.762669184765502,0.7072387624051372,0.7307380252703652
4,XGBoost,All_features,4,26111,6482,44,0.8075611890450626,0.849323161776411,0.732063975628332,0.7684681803645667,0.6989528795811518,0.730553969356936
4,LightGBM,VLE_only,0,26026,6567,3,0.7384033919355875,0.7810835899757307,0.6733936785873275,0.6972956361401352,0.6510760401721665,0.6657391881587633
4,LightGBM,VLE_only,1,26064,6529,3,0.734288488657701,0.7747655457109396,0.6656351539532724,0.7110743801652892,0.6256544502617801,0.6714490303719124
4,LightGBM,VLE_only,2,26072,6521,3,0.7349320138423966,0.7784555699813158,0.6684782608695652,0.6912269747112082,0.6471791873721134,0.6640734646537987
4,LightGBM,VLE_only,3,26099,6494,3,0.7282853491705046,0.7674465956344265,0.6639219274168954,0.6950830140485313,0.6354349095154699,0.662078602084984
4,LightGBM,VLE_only,4,26111,6482,3,0.7274519955143067,0.7716184433248274,0.6648443432042521,0.6955830950111217,0.6367073880162886,0.6609949555061732
4,LightGBM,Assessment_only,0,26026,6567,3,0.7186846939279027,0.7077091287657825,0.6987216734456712,0.7075610473668726,0.6901004304160688,0.6837912924306171
4,LightGBM,Assessment_only,1,26064,6529,3,0.710186962129352,0.6974939447930413,0.6861313868613139,0.703206106870229,0.6698662012798139,0.6777024309537212
4,LightGBM,Assessment_only,2,26072,6521,3,0.7224728668282241,0.7089672053428339,0.70460153868486,0.6998269896193772,0.709441683718211,0.6868176160526539
4,LightGBM,Assessment_only,3,26099,6494,3,0.7182576809291018,0.704080107740352,0.7026793431287813,0.6936860068259386,0.7119089316987741,0.6804329534634679
4,LightGBM,Assessment_only,4,26111,6482,3,0.713684985922965,0.7035778017368293,0.7002613999419112,0.699245939675174,0.7012798138452588,0.6803048215087004
4,LightGBM,VLE+Assessment,0,26026,6567,6,0.7867017448469709,0.8202559110217376,0.7252184392889425,0.7633999365683476,0.690674318507891,0.7243118510125438
4,LightGBM,VLE+Assessment,1,26064,6529,6,0.7762197443496468,0.8095784059708844,0.7094200675053698,0.7506493506493507,0.6724840023269343,0.7120103609175921
4,LightGBM,VLE+Assessment,2,26072,6521,6,0.786184713015436,0.8214842990817104,0.7168087697929354,0.748013981569749,0.6881028938906752,0.716148221138886
4,LightGBM,VLE+Assessment,3,26099,6494,6,0.7808371217570067,0.8131847539358814,0.7126996197718631,0.7440457288027945,0.6838879159369528,0.7105880257650865
4,LightGBM,VLE+Assessment,4,26111,6482,6,0.7824047478173525,0.8155846703205694,0.7138293016887266,0.7483253588516746,0.6823734729493892,0.7115875249109627
4,LightGBM,All_features,0,26026,6567,44,0.8221346328056554,0.8575243967250876,0.7435702328412722,0.7916396629941672,0.7010043041606887,0.7461867724567233
4,LightGBM,All_features,1,26064,6529,44,0.8189287463895726,0.8546528295811222,0.7313502569693194,0.7871270533020449,0.682955206515416,0.7387600361273294
4,LightGBM,All_features,2,26072,6521,44,0.8259145599758607,0.8629599544923163,0.7419804741980475,0.7895778364116095,0.6997953814674072,0.746994464927252
4,LightGBM,All_features,3,26099,6494,44,0.8206981507316928,0.8573338308566928,0.7337952270977676,0.776474421635712,0.695563339171045,0.7359824518541014
4,LightGBM,All_features,4,26111,6482,44,0.8213049789819128,0.8593799587333895,0.7404639576521874,0.7966499162479062,0.6916812100058173,0.7461362686034343
6,Majority,All_features,0,26026,6567,44,0.5,0.5306837216384955,0.6933943493832073,0.5306837216384955,1.0,0.5
6,Majority,All_features,1,26064,6529,44,0.5,0.5265737478940113,0.6898765927560951,0.5265737478940113,1.0,0.5
6,Majority,All_features,2,26072,6521,44,0.5,0.524612789449471,0.688191510762422,0.524612789449471,1.0,0.5
6,Majority,All_features,3,26099,6494,44,0.5,0.5275639051432092,0.6907258064516129,0.5275639051432092,1.0,0.5
6,Majority,All_features,4,26111,6482,44,0.5,0.5303918543659364,0.6931451612903226,0.5303918543659364,1.0,0.5
6,LogisticRegression,VLE_only,0,26026,6567,3,0.7367767860218588,0.7800324790748618,0.7017451777981892,0.6465183752417795,0.7672883787661406,0.6464605424005914
6,LogisticRegression,VLE_only,1,26064,6529,3,0.7329016252969599,0.7761761132011616,0.6985645933014354,0.6431718061674009,0.7643979057591623,0.6463529483503025
6,LogisticRegression,VLE_only,2,26072,6521,3,0.7319249700615741,0.776854726702789,0.6970139349701393,0.6383082158483228,0.7676118094124526,0.6438059047062263
6,LogisticRegression,VLE_only,3,26099,6494,3,0.7269632540028663,0.7667315415585227,0.6997896950578338,0.6365375418460067,0.7769994162288383,0.6407813248028155
6,LogisticRegression,VLE_only,4,26111,6482,3,0.7217308350896183,0.7691982280180003,0.6921545201115094,0.6366300366300366,0.7582897033158813,0.634729608556758
6,LogisticRegression,Assessment_only,0,26026,6567,3,0.7688344038648999,0.7644671253702735,0.6911621884104888,0.7927961381359079,0.6126255380200861,0.715787136304008
6,LogisticRegression,Assessment_only,1,26064,6529,3,0.7547896094969935,0.7507425176200163,0.6738625041514447,0.7852167182662538,0.5901687027341478,0.7053075800956408
6,LogisticRegression,Assessment_only,2,26072,6521,3,0.7677849336639919,0.7628720988897193,0.6879233437964646,0.791033434650456,0.608593978368898,0.7155873117650942
6,LogisticRegression,Assessment_only,3,26099,6494,3,0.762781886501795,0.7574334065876746,0.6813587406793703,0.7880413951705635,0.6001167542323409,0.7099345179245147
6,LogisticRegression,Assessment_only,4,26111,6482,3,0.7611630161165424,0.7600750350200077,0.6849810824148709,0.78833775085195,0.6055846422338569,0.7109723473981373
6,LogisticRegression,VLE+Assessment,0,26026,6567,6,0.7888265925068687,0.8172756152127036,0.712957222566646,0.7751937984496124,0.6599713055954088,0.7217766975738238
6,LogisticRegression,VLE+Assessment,1,26064,6529,6,0.7753821025932595,0.8057181393245256,0.7000318775900541,0.7743300423131171,0.6387434554973822,0.7158453608771285
6,LogisticRegression,VLE+Assessment,2,26072,6521,6,0.7833643247116953,0.8151903193615755,0.7094541450369671,0.7680517711171662,0.6591639871382636,0.7197432838917124
6,LogisticRegression,VLE+Assessment,3,26099,6494,6,0.7784030452761344,0.8050924149213465,0.7054202670856246,0.7638652602926166,0.6552831290134268,0.7145385658104944
6,LogisticRegression,VLE+Assessment,4,26111,6482,6,0.7756448184051021,0.8078294295530862,0.7060305463706503,0.7696532784071404,0.6521233275159977,0.71584484378428
6,LogisticRegression,All_features,0,26026,6567,44,0.8076352998900451,0.8406268113093665,0.7365032918800293,0.7513432835820896,0.7222381635581062,0.7259795619867104
6,LogisticRegression,All_features,1,26064,6529,44,0.7979084692766197,0.8323285592283974,0.7200841852074564,0.7451773490976976,0.6966259453170448,0.7158315750525697
6,LogisticRegression,All_features,2,26072,6521,44,0.8038587094888308,0.8398882518960259,0.7298747763864043,0.7447520535442653,0.7155802396959953,0.7224675392028364
6,LogisticRegression,All_features,3,26099,6494,44,0.7958386896430472,0.8285160358808139,0.7239227340267459,0.7372881355932204,0.7110332749562172,0.7140564027975349
6,LogisticRegression,All_features,4,26111,6482,44,0.7946172827614992,0.8338529399186678,0.7225960819500523,0.7436134195136965,0.7027341477603257,0.7145405298591379
6,RandomForest,VLE_only,0,26026,6567,3,0.7128069495948613,0.7596452686826943,0.6630096367679763,0.6858895705521473,0.6416068866571019,0.6546775510508092
6,RandomForest,VLE_only,1,26064,6529,3,0.7168146972510596,0.7641690998432988,0.6508009153318077,0.6843118383060636,0.6204188481675392,0.6510376350187421
6,RandomForest,VLE_only,2,26072,6521,3,0.722676448124016,0.7655571062965402,0.660890712874297,0.688410386320456,0.6354866997953814,0.6590336724783359
6,RandomForest,VLE_only,3,26099,6494,3,0.7079017365479564,0.7538388884975031,0.6509002136100092,0.6819053708439897,0.6225919439579685,0.6491382144822437
6,RandomForest,VLE_only,4,26111,6482,3,0.7089615062083432,0.7575997202882108,0.6536396181384249,0.6708511941212493,0.6372891215823153,0.6420676882550209
6,RandomForest,Assessment_only,0,26026,6567,3,0.7729810804998153,0.7724523852355187,0.7284547928636226,0.7698945349952061,0.6912482065997131,0.7288168352920694
6,RandomForest,Assessment_only,1,26064,6529,3,0.7498567779864942,0.7525051601311584,0.7044258743423089,0.7526455026455027,0.6620127981384526,0.7100099577880875
6,RandomForest,Assessment_only,2,26072,6521,3,0.7719215754684068,0.7692195594287672,0.7197911868570551,0.7580853816300129,0.6851797719964923,0.7219447247079236
6,RandomForest,Assessment_only,3,26099,6494,3,0.7626586342951477,0.7634792709941296,0.713323124042879,0.7503221649484536,0.6798015178050204,0.7135969779377123
