Week,Model,AUROC_mean,AUROC_std,AUPRC_mean,AUPRC_std,F1_mean,F1_std,Precision_mean,Precision_std,Recall_mean,Recall_std,Balanced_Acc_mean,Balanced_Acc_std,Split
4,XGBoost,0.7799449622131526,0.0,0.8037158637241,0.0,0.7200411452082977,0.0,0.7163568139177895,0.0,0.7237635705669482,0.0,0.709508686511255,0.0,Future-Presentation
4,LightGBM,0.79651832015508,0.06561294328128353,0.8022511954205882,0.12497295929445403,0.6917577846100879,0.10135213615984014,0.7280652012843778,0.13259995477456069,0.6695029281872947,0.1058188181995157,0.7147429191915395,0.056545249196600825,LCPO
4,LogisticRegression,0.7692422413247304,0.0626766048900586,0.7696775900038731,0.1275526007675338,0.6816529400217206,0.08855006405821574,0.6858489660596067,0.15655779848456974,0.7314606285838804,0.15203133833583748,0.6796860241956115,0.07368212329312654,LCPO
4,RandomForest,0.7814527515187201,0.07427458482097539,0.7890274498422284,0.13032634669250093,0.6878499687077108,0.09761729856152586,0.713258715720611,0.14115026026188313,0.675917427162783,0.08627997816132003,0.7069376612004472,0.0595327725680692,LCPO
4,XGBoost,0.7809625816891022,0.06891063899971919,0.7877661511254029,0.12946884113008686,0.6853621417652709,0.10199628308509959,0.7130401947643246,0.1271796197684954,0.6670311566812323,0.10165363913119153,0.7057099574914965,0.05595317205853264,LCPO
4,LightGBM,0.8217962137769389,0.002312778681411605,0.8583701940777217,0.0027456782772720587,0.7382320297517188,0.0047869147593016855,0.7882937781182879,0.006689203692571964,0.6941998882640747,0.006515446662441319,0.742811998793768,0.004538590152298337,Random-Student
4,LogisticRegression,0.7792234025303004,0.006093055063691895,0.8159786967261692,0.0046149029264192926,0.7158140528799735,0.004239403278485305,0.7130342963513012,0.002587691302235651,0.7186526617710801,0.007481497595941115,0.6975606454954555,0.003291683728781861,Random-Student
4,Majority,0.5,0.0,0.5279652036982247,0.002307156012724908,0.691066684128732,0.0019767260710814873,0.5279652036982247,0.002307156012724908,1.0,0.0,0.5,0.0,Random-Student
4,RandomForest,0.8082553521749276,0.0031451121684523157,0.8460175585561392,0.0037161693632531924,0.731453644398652,0.007084800446497419,0.7740769506092228,0.005929034892418608,0.6933304182288444,0.009744625320014853,0.7335077740570579,0.005709069916212318,Random-Student
4,XGBoost,0.8099786897589473,0.002625568213406326,0.849674551279243,0.0028758942397002765,0.7322500243086905,0.004734702231281406,0.7698262751530685,0.004180151247227068,0.6982432664415413,0.008686855121666141,0.7323347026734087,0.003995869987212311,Random-Student
6,LightGBM,0.8131924900553325,0.0,0.8358731913901628,0.0,0.737946984522327,0.0,0.7626401912116197,0.0,0.7148026882646906,0.0,0.7391129072622702,0.0,Future-Presentation
6,LogisticRegression,0.7883553813845979,0.0,0.8094620829277035,0.0,0.7234668281290546,0.0,0.7262938520319555,0.0,0.7206617266930898,0.0,0.7159291774385368,0.0,Future-Presentation
6,RandomForest,0.8101513719136573,0.0,0.835652280057728,0.0,0.7311189125933928,0.0,0.765359969845458,0.0,0.6998104428743753,0.0,0.7358315545872701,0.0,Future-Presentation
6,XGBoost,0.7971348285884368,0.0,0.8216376800503163,0.0,0.731284475965327,0.0,0.7433250266998932,0.0,0.719627778735137,0.0,0.7276900117791499,0.0,Future-Presentation
6,LightGBM,0.8132189700510982,0.07551585518028713,0.8185157747818632,0.13112176216437268,0.7125772241116322,0.10308032709531703,0.7434320392639865,0.14846097008373518,0.6978596597860565,0.09751483427530298,0.7310328954723989,0.06609528137221912,LCPO
6,LogisticRegression,0.7903611748879263,0.07198416181344816,0.7941549800208395,0.136912341989045,0.6975360742885997,0.08727046513695126,0.7354697083542777,0.15909699123752313,0.7076285738902564,0.13821397568811467,0.7050075081094515,0.08814631351036147,LCPO
6,RandomForest,0.8001962939442336,0.08377445107447751,0.8069292454248487,0.13659684984385026,0.7070020158104827,0.10096901934802378,0.7362897467017949,0.15258882933576215,0.6949438406263452,0.08729074165539795,0.7239249633719823,0.06858052793705417,LCPO
6,XGBoost,0.7995789892440084,0.07848665172652118,0.809424005071759,0.13297578882899969,0.7059960304712805,0.10201324463151414,0.7290809404270315,0.14474881936825917,0.6971614278605608,0.09684952911842275,0.7213056280450458,0.06556399470005092,LCPO
6,LightGBM,0.8393359303524136,0.0029164794610653452,0.8748666048676099,0.002934856865604366,0.7526237085750894,0.005645761770427768,0.8024099737949639,0.00783450092978635,0.7087236012027935,0.007689669648854897,0.7567205523888558,0.005505222826054082,Random-Student
6,LogisticRegression,0.7999716902120084,0.004976908390416983,0.8350425196466542,0.004605238448413196,0.7265962138901376,0.005906847450575244,0.7444348482661939,0.004475011785741004,0.7096423542575379,0.009088429727085037,0.7185751217797579,0.004779130674595959,Random-Student
6,Majority,0.5,0.0,0.5279652036982247,0.002307156012724908,0.691066684128732,0.0019767260710814873,0.5279652036982247,0.002307156012724908,1.0,0.0,0.5,0.0,Random-Student
6,RandomForest,0.8299922483413413,0.003446865669636689,0.8659618165731967,0.0032448609012186757,0.7486112739591042,0.00567670235810727,0.7937738671551418,0.004644160102739628,0.708379453918095,0.009309212813244348,0.7512595376248719,0.0041306263066633415,Random-Student
6,XGBoost,0.8269486070198955,0.00360483994446341,0.8662521376792695,0.003349928083632945,0.7455558518439162,0.005420484154900491,0.7849947120103558,0.0047140517325034445,0.7099416856693314,0.008357716478840248,0.7462183647511126,0.004068079208169139,Random-Student
8,LightGBM,0.840401312774752,0.0,0.8661808217703804,0.0,0.7645116440736879,0.0,0.7710780017528484,0.0,0.7580561778390488,0.0,0.759365270521137,0.0,Future-Presentation
8,LogisticRegression,0.8094094948329602,0.0,0.840937824657388,0.0,0.7327980661313994,0.0,0.7342560553633218,0.0,0.7313458555919352,0.0,0.7249362592967923,0.0,Future-Presentation
8,RandomForest,0.8432622431744419,0.0,0.8699828677150518,0.0,0.7658836785992893,0.0,0.7704918032786885,0.0,0.7613303463725659,0.0,0.7600861004356874,0.0,Future-Presentation
8,XGBoost,0.8235639903797556,0.0,0.8509790130468358,0.0,0.7504412877195932,0.0,0.732523793895635,0.0,0.7692572807168706,0.0,0.7352791809485031,0.0,Future-Presentation
8,LightGBM,0.8351081445407215,0.07588577013687431,0.8366156543976525,0.12985795629235558,0.7336121987340161,0.1047101222307921,0.7585742528829006,0.1569509639081322,0.7289447072655755,0.09694603514048888,0.7538323070574632,0.06967183074719283,LCPO
8,LogisticRegression,0.8043391952966417,0.07428804147554477,0.8093505468311455,0.13843634742485308,0.7044564651441418,0.08476181526902135,0.7463556229044216,0.16831951155215483,0.7137194622021865,0.1311411335061319,0.7147848841315105,0.09199044728140303,LCPO
8,RandomForest,0.8255937530732933,0.08379570225545223,0.8270740468703789,0.13644766684651183,0.7316069944672349,0.10306620270186663,0.7553188650882366,0.16174393684270402,0.7273159893279275,0.07969211360579366,0.7497830847179047,0.07213742185868821,LCPO
8,XGBoost,0.8252544132825687,0.0770183058009544,0.8272741601301349,0.13355293764731355,0.7287594809882338,0.10360287522503654,0.7462312959895431,0.15004413956059817,0.7277735765891497,0.09430332760978731,0.7464429097935089,0.06633448067455298,LCPO
8,LightGBM,0.8629711929106907,0.003798118592192678,0.894024832590721,0.003062105710749638,0.7816174717706103,0.004103641521876321,0.8304568096859825,0.0041150614816566925,0.7382688341683458,0.008037757569314435,0.7848202634726501,0.0033021124473564725,Random-Student
8,LogisticRegression,0.813606855256037,0.0046132531594962976,0.8472911571465541,0.004381330060962885,0.7352092631507761,0.006011051406631117,0.7667403317640378,0.005008003375993402,0.7062138139922685,0.0087025146236499,0.7329516250728195,0.0049903535407807365,Random-Student
8,Majority,0.5,0.0,0.5279652036982247,0.002307156012724908,0.691066684128732,0.0019767260710814873,0.5279652036982247,0.002307156012724908,1.0,0.0,0.5,0.0,Random-Student
8,RandomForest,0.8552746566266656,0.004345697586139321,0.8864130215554644,0.003959148198530472,0.7783898088836729,0.004633832079966119,0.8219037717245709,0.004169172403008533,0.7393163759451784,0.008457513552097805,0.7800532304404595,0.003542805232065845,Random-Student
8,XGBoost,0.8558269811749126,0.004593587375231618,0.8885390549057993,0.0037178851952246713,0.7773758952230004,0.00557607602511287,0.8158766693956157,0.003343293210309173,0.7424092995989504,0.009671697651043441,0.7774991852185711,0.00468320158813366,Random-Student
