week,model,split_type,fold_or_seed,held_out_module,held_out_presentation,auroc,auprc,f1,precision,recall,balanced_acc
6,LightGBM,lcpo,3,BBB,2013J,0.8201440490679649,0.8564681429187461,0.7453551912568306,0.6474683544303798,0.8781115879828326,0.6792610178720133
6,LightGBM,lcpo,4,BBB,2014B,0.8248872108078904,0.8780997036949193,0.759375,0.7050290135396519,0.8227990970654627,0.7016333862218648
6,LightGBM,lcpo,5,BBB,2014J,0.7075920595760234,0.7495935907883389,0.6860507913139492,0.5909955611921369,0.8175438596491228,0.6288240131578947
6,LightGBM,lcpo,6,CCC,2014B,0.882981496423574,0.9368763918412494,0.8571428571428571,0.8612212529738303,0.8531029065200314,0.7945755859900308
6,LightGBM,lcpo,7,CCC,2014J,0.8650382495872764,0.9057693019811914,0.8030973451327433,0.8860862489829129,0.734322319622387,0.7981956425698142
6,LightGBM,lcpo,8,DDD,2013B,0.8591202433053928,0.9089820300322556,0.796435915010281,0.8723723723723724,0.7326607818411097,0.7829970575872216
6,LightGBM,lcpo,9,DDD,2013J,0.8436783809624293,0.8845274416456489,0.7780452575830524,0.8347107438016529,0.7285843101893598,0.7677903456857534
6,LightGBM,lcpo,10,DDD,2014B,0.846905128898378,0.9031650489927132,0.7983014861995754,0.8493975903614458,0.753004005340454,0.772117869058536
6,LightGBM,lcpo,11,DDD,2014J,0.8537176912547833,0.8968371556176482,0.7679372197309418,0.8861578266494179,0.6775469831849654,0.7832179360369271
6,LightGBM,lcpo,12,EEE,2013J,0.860247157943118,0.8488996576824623,0.7639060568603214,0.8442622950819673,0.6975169300225733,0.8019604354546364
6,LightGBM,lcpo,13,EEE,2014B,0.853049231562061,0.8821200317605834,0.7491408934707904,0.889795918367347,0.6468842729970327,0.7856270104480962
6,LightGBM,lcpo,14,EEE,2014J,0.8670620416782697,0.8603127935162539,0.7667386609071274,0.8412322274881516,0.7043650793650794,0.8032059314954052
6,LightGBM,lcpo,15,FFF,2013B,0.7917168748770411,0.8278731140631297,0.6294027565084227,0.8670886075949367,0.49399038461538464,0.7067138623844187
6,LightGBM,lcpo,16,FFF,2013J,0.8065053118706086,0.8431556336085136,0.6805273833671399,0.8558673469387755,0.5648148148148148,0.7308092338914256
6,LightGBM,lcpo,17,FFF,2014B,0.8158820786431562,0.870732870228071,0.6989869753979739,0.9011194029850746,0.5709219858156028,0.7449411152319605
