week,model,split_type,fold_or_seed,held_out_module,held_out_presentation,feature_set,auroc,auprc,f1,precision,recall,balanced_acc
8,GNN,lcpo,6,CCC,2014B,full,0.754098049879206,0.8733241206561224,0.5980911983032874,0.9200652528548124,0.4430479183032207,0.6845707163160146
8,GNN,lcpo,6,CCC,2014B,full,0.7631407146216997,0.8773356697021054,0.6325910931174089,0.8890469416785206,0.4909662215239591,0.6866595813502149
8,GNN,lcpo,6,CCC,2014B,full,0.7715494923572185,0.8847516757056364,0.6480162767039674,0.9191919191919192,0.5003927729772192,0.7079641089622144
8,GNN,lcpo,6,CCC,2014B,full,0.7612035085349627,0.8779956027213176,0.5831062670299727,0.9519572953736656,0.420267085624509,0.6897715518620283
8,GNN,lcpo,6,CCC,2014B,full,0.7459392724398963,0.8674657457709146,0.6148300720906282,0.8923766816143498,0.4689709347996857,0.6801868248659062
8,GNN,lcpo,7,CCC,2014J,full,0.7438250915963847,0.8311809641562091,0.5572413793103448,0.8757225433526011,0.4086311530681052,0.6619510445143482
8,GNN,lcpo,7,CCC,2014J,full,0.7569897259250156,0.8443750405385217,0.559322033898305,0.9266770670826832,0.4005394470667566,0.6771170141737723
8,GNN,lcpo,7,CCC,2014J,full,0.7575079139940675,0.8424725813101765,0.6511056511056511,0.8289885297184567,0.5360755225893459,0.6872495839547714
8,GNN,lcpo,7,CCC,2014J,full,0.7555962650598407,0.8387078673313617,0.5926916221033868,0.873850197109067,0.4484153742414025,0.6769170467266126
8,GNN,lcpo,7,CCC,2014J,full,0.7569950406744417,0.8429066670991243,0.6688154713940371,0.8308308308308309,0.559676331759946,0.6965869343528794
8,GNN,lcpo,8,DDD,2013B,full,0.787092945627179,0.87666884054293,0.7498375568551007,0.7734584450402144,0.7276166456494325,0.6981220483149123
8,GNN,lcpo,8,DDD,2013B,full,0.7685656355858863,0.8578129884309462,0.7661085743277524,0.6409168081494058,0.9520807061790668,0.5613344707365923
8,GNN,lcpo,8,DDD,2013B,full,0.80126845189526,0.8838193464008116,0.7690643591130341,0.6732954545454546,0.8965952080706179,0.6100623099176619
8,GNN,lcpo,8,DDD,2013B,full,0.7962614049402863,0.8810237734177716,0.7678132678132679,0.7485029940119761,0.7881462799495587,0.6881907870336028
8,GNN,lcpo,8,DDD,2013B,full,0.7154773384763742,0.8335602954320028,0.7584541062801933,0.6147220046985121,0.9899117276166456,0.5126029226318523
8,GNN,lcpo,9,DDD,2013J,full,0.845503017856968,0.8941258885848767,0.7428571428571429,0.8988476312419974,0.6330027051397655,0.7688535841742253
8,GNN,lcpo,9,DDD,2013J,full,0.8362248344230395,0.8881526380087121,0.7720588235294118,0.7872539831302718,0.757439134355275,0.7418076250787231
8,GNN,lcpo,9,DDD,2013J,full,0.840249368855107,0.8884843972321506,0.7649903288201161,0.8248175182481752,0.7132551848512173,0.755300692546236
8,GNN,lcpo,9,DDD,2013J,full,0.8422170398787854,0.8919985432349232,0.7391076115485564,0.8844221105527639,0.6348061316501352,0.7619145254149349
8,GNN,lcpo,9,DDD,2013J,full,0.8436473811701823,0.8931323237705884,0.7374537770734284,0.8903061224489796,0.6293958521190262,0.7628282035022151
8,GNN,lcpo,10,DDD,2014B,full,0.837762806915832,0.9000148108373764,0.7639097744360902,0.8743545611015491,0.678237650200267,0.7629184075635991
8,GNN,lcpo,10,DDD,2014B,full,0.8402546471147334,0.9008970865893952,0.7892190739460954,0.8180515759312321,0.7623497997329773,0.7486070501796411
8,GNN,lcpo,10,DDD,2014B,full,0.842163943016576,0.903119915105746,0.7963085036255768,0.7864583333333334,0.8064085447263017,0.7320142932399776
8,GNN,lcpo,10,DDD,2014B,full,0.8376513151843378,0.899760805646068,0.7932885906040269,0.7975708502024291,0.7890520694259012,0.737949834295414
8,GNN,lcpo,10,DDD,2014B,full,0.8429527470168993,0.9041416399028726,0.7822878228782287,0.8745874587458746,0.7076101468624834,0.7744731318863565
8,GNN,lcpo,11,DDD,2014J,full,0.783927304698818,0.8608757822608645,0.7161572052401747,0.7990255785627284,0.6488625123639961,0.7202645895153313
8,GNN,lcpo,11,DDD,2014J,full,0.7670922878638012,0.8505395013141438,0.6985539488320356,0.7979669631512071,0.6211671612265084,0.7102047927344664
8,GNN,lcpo,11,DDD,2014J,full,0.7998880995913636,0.8697695913956126,0.6430910281597905,0.9515503875968992,0.4856577645895153,0.7270460540119293
