week,fold_idx,held_out_module,held_out_presentation,model_seed,n_train,n_test,best_val_auroc,best_epoch,auroc,auprc,f1,precision,recall,balanced_acc,pipeline_version
8,2,BBB,2013B,123,27754,1767,0.8443324195380022,194,0.8176250368173292,0.879020993249881,0.7497446373850868,0.738430583501006,0.7614107883817427,0.7188124925719424,v2_corrected
8,2,BBB,2013B,7,27754,1767,0.844770666872033,198,0.7970215426590121,0.8680831844936935,0.7253886010362695,0.6643658326143227,0.7987551867219918,0.657160905938829,v2_corrected
8,2,BBB,2013B,17,27754,1767,0.8479779565845811,199,0.8336786841874092,0.8872861734063191,0.766951566951567,0.8508217446270544,0.6981327800829875,0.7755919193067491,v2_corrected
8,2,BBB,2013B,99,27754,1767,0.8452459312138898,199,0.8428171328472585,0.8900898711081476,0.7610405323653963,0.9129172714078374,0.6524896265560166,0.7888849129044093,v2_corrected
8,3,BBB,2013J,42,27326,2237,0.8347560375175402,131,0.8419295688937288,0.8853787662790737,0.7546628407460545,0.8520518358531317,0.6772532188841202,0.7747273557107168,v2_corrected
8,3,BBB,2013J,123,27326,2237,0.8279012966551432,112,0.8470909935302031,0.8897354971964548,0.7186659494351803,0.962536023054755,0.5733905579399141,0.7745684132983153,v2_corrected
8,3,BBB,2013J,7,27326,2237,0.8331686284715505,195,0.844499871885209,0.8904756762139423,0.708764289602613,0.96875,0.5587982832618026,0.7696043655114984,v2_corrected
8,3,BBB,2013J,17,27326,2237,0.832714078221328,139,0.813336749727756,0.8688239626844021,0.7406380027739251,0.8026052104208417,0.6875536480686695,0.7518924956761257,v2_corrected
8,3,BBB,2013J,99,27326,2237,0.8305736476910253,164,0.8336941899942347,0.8808906233383713,0.6984649122807017,0.9666160849772383,0.5467811158798284,0.7631293639100634,v2_corrected
8,4,BBB,2014B,42,27897,1613,0.8301619612728847,122,0.8538863755623933,0.9046877168809048,0.7652060170045781,0.9097978227060654,0.6602708803611738,0.7902454814460614,v2_corrected
8,4,BBB,2014B,123,27897,1613,0.826483096479929,199,0.851796709319042,0.9042547211738012,0.7428571428571429,0.970856102003643,0.6015801354401806,0.789785941172635,v2_corrected
8,4,BBB,2014B,7,27897,1613,0.8309588867538062,199,0.8470507139951747,0.9015788788740046,0.74949358541526,0.9327731092436975,0.626410835214447,0.7856951012385852,v2_corrected
8,4,BBB,2014B,17,27897,1613,0.8338002829571131,199,0.8408158702854428,0.89687795014377,0.7650145772594752,0.7913148371531966,0.7404063205417607,0.75122104197652,v2_corrected
8,4,BBB,2014B,99,27897,1613,0.8300867875921194,196,0.8564992346170446,0.9054207405022877,0.7723270440251573,0.8721590909090909,0.6930022573363431,0.7846029168387355,v2_corrected
8,5,BBB,2014J,42,27281,2292,0.8356326633628434,199,0.8497791788499025,0.8883563351155546,0.7837969741337237,0.8833883388338833,0.7043859649122807,0.8061860380116959,v2_corrected
8,5,BBB,2014J,123,27281,2292,0.8373227491180677,190,0.8511939571150098,0.8903651667393849,0.783609576427256,0.8246124031007752,0.7464912280701754,0.7946865862573099,v2_corrected
8,5,BBB,2014J,7,27281,2292,0.835891219614685,197,0.8589303118908381,0.8939416644969709,0.7760791366906474,0.7961254612546126,0.7570175438596491,0.7825886330409357,v2_corrected
8,5,BBB,2014J,17,27281,2292,0.8414129592621941,199,0.8607478983918128,0.8959230669539708,0.7874564459930313,0.9102416570771001,0.6938596491228071,0.8130756578947369,v2_corrected
8,5,BBB,2014J,99,27281,2292,0.8384102710700221,198,0.8484748111598441,0.8874432682790185,0.7352380952380952,0.6498316498316499,0.8464912280701754,0.6975511695906433,v2_corrected
8,6,CCC,2014B,42,27578,1936,0.839986420717622,193,0.754098049879206,0.8733241206561224,0.5980911983032874,0.9200652528548124,0.4430479183032207,0.6845707163160146,v2_corrected
8,6,CCC,2014B,123,27578,1936,0.8387295338399776,115,0.7631407146216997,0.8773356697021054,0.6325910931174089,0.8890469416785206,0.49096622152395913,0.6866595813502149,v2_corrected
8,6,CCC,2014B,7,27578,1936,0.841576870913955,199,0.7715494923572185,0.8847516757056364,0.6480162767039674,0.9191919191919192,0.5003927729772192,0.7079641089622144,v2_corrected
8,6,CCC,2014B,17,27578,1936,0.838196424404152,193,0.7612035085349627,0.8779956027213176,0.5831062670299727,0.9519572953736655,0.42026708562450904,0.6897715518620283,v2_corrected
8,6,CCC,2014B,99,27578,1936,0.8373128409617447,108,0.7459392724398963,0.8674657457709146,0.6148300720906282,0.8923766816143498,0.46897093479968577,0.6801868248659062,v2_corrected
8,7,CCC,2014J,42,27086,2498,0.844526010833937,152,0.7438250915963847,0.8311809641562091,0.5572413793103448,0.8757225433526011,0.4086311530681052,0.6619510445143482,v2_corrected
8,7,CCC,2014J,123,27086,2498,0.8457731177407045,168,0.7569897259250156,0.8443750405385217,0.559322033898305,0.9266770670826833,0.4005394470667566,0.6771170141737723,v2_corrected
8,7,CCC,2014J,7,27086,2498,0.842866521930842,134,0.7575079139940675,0.8424725813101765,0.6511056511056511,0.8289885297184567,0.5360755225893459,0.6872495839547714,v2_corrected
8,7,CCC,2014J,17,27086,2498,0.8449377287690786,192,0.7555962650598407,0.8387078673313617,0.5926916221033868,0.873850197109067,0.44841537424140254,0.6769170467266126,v2_corrected
8,7,CCC,2014J,99,27086,2498,0.8436259865735682,173,0.7569950406744417,0.8429066670991243,0.6688154713940371,0.8308308308308309,0.559676331759946,0.6965869343528794,v2_corrected
8,8,DDD,2013B,42,28191,1303,0.8390446356693264,194,0.787092945627179,0.87666884054293,0.7498375568551007,0.7734584450402144,0.7276166456494325,0.6981220483149123,v2_corrected
8,8,DDD,2013B,123,28191,1303,0.8372904509449781,197,0.7685656355858863,0.8578129884309462,0.7661085743277524,0.6409168081494058,0.9520807061790668,0.5613344707365923,v2_corrected
8,8,DDD,2013B,7,28191,1303,0.8397654135087449,198,0.80126845189526,0.8838193464008116,0.7690643591130341,0.6732954545454546,0.8965952080706179,0.6100623099176619,v2_corrected
8,8,DDD,2013B,17,28191,1303,0.8429482232909683,198,0.7962614049402863,0.8810237734177716,0.7678132678132679,0.7485029940119761,0.7881462799495587,0.6881907870336028,v2_corrected
8,8,DDD,2013B,99,28191,1303,0.8426977446494341,199,0.7154773384763742,0.8335602954320028,0.7584541062801933,0.6147220046985121,0.9899117276166457,0.5126029226318523,v2_corrected
8,9,DDD,2013J,42,27594,1938,0.83405151887232,162,0.845503017856968,0.8941258885848767,0.7428571428571429,0.8988476312419974,0.6330027051397655,0.7688535841742253,v2_corrected
8,9,DDD,2013J,123,27594,1938,0.8370825707438498,199,0.8362248344230395,0.8881526380087121,0.7720588235294118,0.7872539831302718,0.757439134355275,0.7418076250787231,v2_corrected
8,9,DDD,2013J,7,27594,1938,0.8369075291071075,198,0.840249368855107,0.8884843972321506,0.7649903288201161,0.8248175182481752,0.7132551848512173,0.755300692546236,v2_corrected
8,9,DDD,2013J,17,27594,1938,0.837294508411866,139,0.8422170398787854,0.8919985432349232,0.7391076115485564,0.8844221105527639,0.6348061316501352,0.7619145254149349,v2_corrected
8,9,DDD,2013J,99,27594,1938,0.8371357696726636,167,0.8436473811701823,0.8931323237705884,0.7374537770734284,0.8903061224489796,0.6293958521190262,0.7628282035022151,v2_corrected
8,10,DDD,2014B,42,28247,1228,0.8270753860127157,124,0.837762806915832,0.9000148108373764,0.7639097744360902,0.8743545611015491,0.678237650200267,0.7629184075635991,v2_corrected
8,10,DDD,2014B,123,28247,1228,0.8298117413921229,106,0.8402546471147334,0.9008970865893952,0.7892190739460954,0.8180515759312321,0.7623497997329773,0.7486070501796411,v2_corrected
8,10,DDD,2014B,7,28247,1228,0.8296519692841219,194,0.842163943016576,0.9031199151057461,0.7963085036255768,0.7864583333333334,0.8064085447263017,0.7320142932399776,v2_corrected
8,10,DDD,2014B,17,28247,1228,0.8289763438196681,195,0.8376513151843378,0.899760805646068,0.7932885906040269,0.7975708502024291,0.7890520694259012,0.737949834295414,v2_corrected
8,10,DDD,2014B,99,28247,1228,0.8298233011312031,188,0.8429527470168993,0.9041416399028726,0.7822878228782287,0.8745874587458746,0.7076101468624834,0.7744731318863565,v2_corrected
8,11,DDD,2014J,42,27716,1803,0.8425919790965866,115,0.783927304698818,0.8608757822608645,0.7161572052401747,0.7990255785627284,0.6488625123639961,0.7202645895153313,v2_corrected
8,11,DDD,2014J,123,27716,1803,0.8418176999449551,196,0.7670922878638012,0.8505395013141438,0.6985539488320356,0.7979669631512071,0.6211671612265084,0.7102047927344664,v2_corrected
8,11,DDD,2014J,7,27716,1803,0.842896509075588,170,0.7998880995913636,0.8697695913956126,0.6430910281597905,0.9515503875968992,0.4856577645895153,0.7270460540119293,v2_corrected
8,11,DDD,2014J,17,27716,1803,0.8405583814125435,198,0.7873255302780526,0.8636185652854422,0.6892792247122955,0.8890625,0.5628090999010881,0.7365813176273117,v2_corrected
8,11,DDD,2014J,99,27716,1803,0.8422224657329446,177,0.7813520966339957,0.858880944438557,0.6847498493068114,0.8765432098765432,0.5618199802176064,0.7304049396037526,v2_corrected
8,12,EEE,2013J,42,28414,1052,0.8423368961179023,197,0.8147093818456783,0.8276111562216648,0.6935483870967742,0.8571428571428571,0.582392776523702,0.755892611578764,v2_corrected
8,12,EEE,2013J,123,28414,1052,0.8440839595600744,190,0.8195428245245324,0.8283103331422565,0.6850393700787402,0.8181818181818182,0.5891647855530474,0.7469633451574761,v2_corrected
8,12,EEE,2013J,7,28414,1052,0.8387228929162571,199,0.7886258418678439,0.8111215096736032,0.6901960784313725,0.8198757763975155,0.5959367945823928,0.7503493496721487,v2_corrected
8,12,EEE,2013J,17,28414,1052,0.8413247445316214,198,0.82460237150048,0.8329832957658475,0.7049808429118773,0.8117647058823529,0.6230248306997742,0.7589672593564553,v2_corrected
8,12,EEE,2013J,99,28414,1052,0.8435912720154299,199,0.7723055595710691,0.8047445124983292,0.7022696929238985,0.8594771241830066,0.5936794582392777,0.7615359524365518,v2_corrected
8,13,EEE,2014B,42,28692,694,0.8466024894596323,126,0.7728266380736271,0.8144984481644606,0.6493955094991365,0.7768595041322314,0.5578635014836796,0.7033014986409994,v2_corrected
8,13,EEE,2014B,123,28692,694,0.8481621338764196,154,0.7588293477628439,0.8107870607277229,0.6480446927374302,0.87,0.516320474777448,0.7217456715623936,v2_corrected
8,13,EEE,2014B,7,28692,694,0.8511368511368511,196,0.7596688527042865,0.8090826304237184,0.643510054844607,0.8380952380952381,0.5222551928783383,0.7135085488201216,v2_corrected
8,13,EEE,2014B,17,28692,694,0.8495074745074744,197,0.7889185347729597,0.8269526860076739,0.6570397111913358,0.8387096774193549,0.5400593471810089,0.7210100657473673,v2_corrected
