Week,Model,Course,AUROC
4,LogReg,EEE_2013J,0.7112263741511552
4,LogReg,EEE_2014B,0.7494228913163768
4,LogReg,EEE_2014J,0.7981894301918615
4,LogReg,FFF_2013B,0.7864666224580018
4,LogReg,FFF_2013J,0.787246181970347
4,LogReg,FFF_2014B,0.7944771920467518
4,LogReg,FFF_2014J,0.8100711415227545
4,LogReg,GGG_2013J,0.5777438236001772
4,LogReg,GGG_2014B,0.628411306042885
4,LogReg,GGG_2014J,0.5729853479853481
4,RF,AAA_2013J,0.7211744608308424
4,RF,AAA_2014J,0.650079835855911
4,RF,BBB_2013B,0.7793070542464949
4,RF,BBB_2013J,0.7568531049597489
4,RF,BBB_2014B,0.7169490231990232
4,RF,BBB_2014J,0.7100219755995069
4,RF,CCC_2014B,0.8425017119379138
4,RF,CCC_2014J,0.8163832386714273
4,RF,DDD_2013B,0.8455647942189802
4,RF,DDD_2013J,0.8276067012813831
4,RF,DDD_2014B,0.812204682661485
4,RF,DDD_2014J,0.822182343420001
4,RF,EEE_2013J,0.7445206502485368
4,RF,EEE_2014B,0.7623749847439644
4,RF,EEE_2014J,0.8008166043085067
4,RF,FFF_2013B,0.7826480580934604
4,RF,FFF_2013J,0.7811814457115123
4,RF,FFF_2014B,0.7987671300954884
4,RF,FFF_2014J,0.8125638101444553
4,RF,GGG_2013J,0.5247913841836493
4,RF,GGG_2014B,0.6023879142300195
4,RF,GGG_2014J,0.5350738547167119
4,XGB,AAA_2013J,0.6585667332511652
4,XGB,AAA_2014J,0.6136572275969212
4,XGB,BBB_2013B,0.7512085653464204
4,XGB,BBB_2013J,0.7254950261802429
4,XGB,BBB_2014B,0.6759004884004884
4,XGB,BBB_2014J,0.6845158134760715
4,XGB,CCC_2014B,0.8124029342392057
4,XGB,CCC_2014J,0.7871491880629602
4,XGB,DDD_2013B,0.8236775025930833
4,XGB,DDD_2013J,0.7973905559156501
4,XGB,DDD_2014B,0.7720408320209712
4,XGB,DDD_2014J,0.8054601250524257
4,XGB,EEE_2013J,0.7261080905482258
4,XGB,EEE_2014B,0.7214985432825896
4,XGB,EEE_2014J,0.7865348107151796
4,XGB,FFF_2013B,0.7547619281527327
4,XGB,FFF_2013J,0.7432844941573163
4,XGB,FFF_2014B,0.7672619249143663
4,XGB,FFF_2014J,0.785744542196155
4,XGB,GGG_2013J,0.5158123031051208
4,XGB,GGG_2014B,0.5828216374269005
4,XGB,GGG_2014J,0.5314788386216956
6,LogReg,AAA_2013J,0.6988786887103858
6,LogReg,AAA_2014J,0.6726776985303925
6,LogReg,BBB_2013B,0.7905803137242308
6,LogReg,BBB_2013J,0.7702332448565475
6,LogReg,BBB_2014B,0.7677055094256152
6,LogReg,BBB_2014J,0.7293185096414008
6,LogReg,CCC_2014B,0.8713543960811009
6,LogReg,CCC_2014J,0.8579598945946403
6,LogReg,DDD_2013B,0.8420662419241016
6,LogReg,DDD_2013J,0.8336431576711476
6,LogReg,DDD_2014B,0.8309698128111122
6,LogReg,DDD_2014J,0.839998403933818
6,LogReg,EEE_2013J,0.838500961190534
6,LogReg,EEE_2014B,0.825942481180419
6,LogReg,EEE_2014J,0.8410559825074762
6,LogReg,FFF_2013B,0.7978188234181419
6,LogReg,FFF_2013J,0.802896517577158
