Course_Presentation,Week,Model,AUROC
AAA/2014J,6,RandomForest,0.7171972049689441
AAA/2014J,6,XGBoost,0.71777950310559
AAA/2014J,6,LightGBM,0.7257199322416714
BBB/2013B,6,LogisticRegression,0.8146589811030215
BBB/2013B,6,RandomForest,0.8316401668018789
BBB/2013B,6,XGBoost,0.8323597195165433
BBB/2013B,6,LightGBM,0.8483061444892855
BBB/2013J,6,LogisticRegression,0.8393544615975913
BBB/2013J,6,RandomForest,0.8259044103516752
BBB/2013J,6,XGBoost,0.8323461821792326
BBB/2013J,6,LightGBM,0.8451940939081417
BBB/2014B,6,LogisticRegression,0.8224280493446894
BBB/2014B,6,RandomForest,0.8367164915963125
BBB/2014B,6,XGBoost,0.8227711520488354
BBB/2014B,6,LightGBM,0.8385585339423276
BBB/2014J,6,LogisticRegression,0.726870126705653
BBB/2014J,6,RandomForest,0.7592847679093567
BBB/2014J,6,XGBoost,0.751139894005848
BBB/2014J,6,LightGBM,0.7625072337962963
CCC/2014B,6,LogisticRegression,0.8688268587995958
CCC/2014B,6,RandomForest,0.8919352985015385
CCC/2014B,6,XGBoost,0.8896479735165563
CCC/2014B,6,LightGBM,0.8967984559223412
CCC/2014J,6,LogisticRegression,0.8258097519008534
CCC/2014J,6,RandomForest,0.8674664257313593
CCC/2014J,6,XGBoost,0.8556600420529548
CCC/2014J,6,LightGBM,0.8669412620536856
DDD/2013B,6,LogisticRegression,0.8234947951437825
DDD/2013B,6,RandomForest,0.8671426452043617
DDD/2013B,6,XGBoost,0.8662611576787083
DDD/2013B,6,LightGBM,0.8723339020349627
DDD/2013J,6,LogisticRegression,0.8326223322503348
DDD/2013J,6,RandomForest,0.8516469591379229
DDD/2013J,6,XGBoost,0.8423573547279033
DDD/2013J,6,LightGBM,0.856752135450601
DDD/2014B,6,LogisticRegression,0.8162198170978144
DDD/2014B,6,RandomForest,0.8510261420237422
DDD/2014B,6,XGBoost,0.8475016096618735
DDD/2014B,6,LightGBM,0.8594033519989074
DDD/2014J,6,LogisticRegression,0.8311340407037737
DDD/2014J,6,RandomForest,0.8582049475966391
DDD/2014J,6,XGBoost,0.8470898400423623
DDD/2014J,6,LightGBM,0.8655459141364186
EEE/2013J,6,LogisticRegression,0.8513679309974165
EEE/2013J,6,RandomForest,0.8540978623877356
EEE/2013J,6,XGBoost,0.8461378791416931
EEE/2013J,6,LightGBM,0.864693258014656
EEE/2014B,6,LogisticRegression,0.828657872644607
EEE/2014B,6,RandomForest,0.8450448428629612
EEE/2014B,6,XGBoost,0.8521473871447691
EEE/2014B,6,LightGBM,0.8583813347297375
EEE/2014J,6,LogisticRegression,0.8667008957579132
EEE/2014J,6,RandomForest,0.8690244128840621
EEE/2014J,6,XGBoost,0.8631155434883505
EEE/2014J,6,LightGBM,0.878591153810452
FFF/2013B,6,LogisticRegression,0.7961895042297857
FFF/2013B,6,RandomForest,0.8053614683749755
FFF/2013B,6,XGBoost,0.80545138205784
FFF/2013B,6,LightGBM,0.815822963800905
FFF/2013J,6,LogisticRegression,0.8206694033178051
FFF/2013J,6,RandomForest,0.82130744276863
FFF/2013J,6,XGBoost,0.8238250080715835
FFF/2013J,6,LightGBM,0.834202373814246
FFF/2014B,6,LogisticRegression,0.8092046760795542
FFF/2014B,6,RandomForest,0.8133743249398139
